cid,id,sdate,name,pcid,ppid,name,sname,oan_date,ele_cycle,point
5,8,1964-11-09,Sato I,649,640,Japan,JPN,1964-04-28,4,1.22
5,48,1960-12-08,Ikeda II,241,345,Japan,JPN,1964-04-28,4,1.22
5,59,1974-12-09,Miki,502,333,Japan,JPN,1964-04-28,4,1.22
5,106,1989-08-10,Kaifu I,743,506,Japan,JPN,1964-04-28,4,1.22
5,134,2007-09-26,Fukuda Y,390,554,Japan,JPN,1964-04-28,4,1.22
5,146,1986-07-22,Nakasone III,568,506,Japan,JPN,1964-04-28,4,1.22
5,163,2000-07-04,Mori II,211,237,Japan,JPN,1964-04-28,4,1.22
5,180,1980-07-17,Suzuki,727,113,Japan,JPN,1964-04-28,4,1.22
5,211,2000-04-05,Mori I,665,628,Japan,JPN,1964-04-28,4,1.22
5,213,1990-02-28,Kaifu II,106,25,Japan,JPN,1964-04-28,4,1.22
5,227,1978-12-07,Ohira I,337,53,Japan,JPN,1964-04-28,4,1.22
5,241,1960-07-19,Ikeda I,780,645,Japan,JPN,1964-04-28,4,1.22
5,242,1982-11-27,Nakasone I,180,113,Japan,JPN,1964-04-28,4,1.22
5,253,1991-11-05,Miyazawa,213,25,Japan,JPN,1964-04-28,4,1.22
5,283,1987-11-06,Takeshita,146,506,Japan,JPN,1964-04-28,4,1.22
5,337,1976-12-24,Fukuda T,59,53,Japan,JPN,1964-04-28,4,1.22
5,371,1996-11-07,Hashimoto II,800,628,Japan,JPN,1964-04-28,4,1.22
5,374,2009-09-16,Hatoyama Y,494,327,Japan,JPN,1964-04-28,4,1.22
5,390,2007-08-27,Abe II,679,554,Japan,JPN,1964-04-28,4,1.22
5,417,1993-08-06,Hosokawa,253,57,Japan,JPN,1964-04-28,4,1.22
5,432,1994-04-25,Hata,417,57,Japan,JPN,1964-04-28,4,1.22
5,493,2010-06-04,Kan,374,327,Japan,JPN,1964-04-28,4,1.22
5,494,2008-09-24,Aso,134,554,Japan,JPN,1964-04-28,4,1.22
5,502,1972-12-22,Tanaka II,656,333,Japan,JPN,1964-04-28,4,1.22
5,568,1983-12-27,Nakasone II,242,138,Japan,JPN,1964-04-28,4,1.22
5,649,1963-12-09,Ikeda III,48,640,Japan,JPN,1964-04-28,4,1.22
5,656,1972-07-07,Tanaka I,789,603,Japan,JPN,1964-04-28,4,1.22
5,665,1999-10-05,Obuchi III,916,628,Japan,JPN,1964-04-28,4,1.22
5,679,2006-09-26,Abe I,850,554,Japan,JPN,1964-04-28,4,1.22
5,727,1979-11-09,Ohira II,227,433,Japan,JPN,1964-04-28,4,1.22
5,743,1989-06-03,Uno,283,506,Japan,JPN,1964-04-28,4,1.22
5,770,2003-11-19,Koizumi II,840,511,Japan,JPN,1964-04-28,4,1.22
5,780,1958-06-12,Kishi II,887,645,Japan,JPN,1964-04-28,4,1.22
5,787,1967-02-17,Sato II,8,367,Japan,JPN,1964-04-28,4,1.22
5,789,1970-01-14,Sato III,787,603,Japan,JPN,1964-04-28,4,1.22
5,800,1996-01-11,Hashimoto I,868,57,Japan,JPN,1964-04-28,4,1.22
5,840,2001-04-26,Koizumi I,163,237,Japan,JPN,1964-04-28,4,1.22
5,850,2005-10-31,Koizumi III,770,554,Japan,JPN,1964-04-28,4,1.22
5,868,1994-06-30,Murayama,432,57,Japan,JPN,1964-04-28,4,1.22
5,887,1957-02-25,Kishi I,901,692,Japan,JPN,1964-04-28,4,1.22
5,891,1946-05-22,Yoshida I,None,697,Japan,JPN,1964-04-28,4,1.22
5,892,1947-05-23,Katayama,891,696,Japan,JPN,1964-04-28,4,1.22
5,893,1948-02-21,Ashida,892,696,Japan,JPN,1964-04-28,4,1.22
5,894,1948-10-15,Yoshida II,893,696,Japan,JPN,1964-04-28,4,1.22
5,895,1949-02-11,Yoshida III,894,695,Japan,JPN,1964-04-28,4,1.22
5,896,1952-10-24,Yoshida IV,895,694,Japan,JPN,1964-04-28,4,1.22
5,897,1953-05-19,Yoshida V,896,693,Japan,JPN,1964-04-28,4,1.22
5,898,1954-12-09,Hatoyama I I,897,693,Japan,JPN,1964-04-28,4,1.22
5,899,1955-03-18,Hatoyama I II,898,692,Japan,JPN,1964-04-28,4,1.22
5,900,1955-11-22,Hatoyama I III,899,692,Japan,JPN,1964-04-28,4,1.22
5,901,1956-12-20,Ishibashi,900,692,Japan,JPN,1964-04-28,4,1.22
5,915,1998-07-30,Obuchi I,371,628,Japan,JPN,1964-04-28,4,1.22
5,916,1999-01-14,Obuchi II,915,628,Japan,JPN,1964-04-28,4,1.22
5,969,2011-08-30,Noda,493,327,Japan,JPN,1964-04-28,4,1.22
5,1044,2012-12-26,Abe III,969,788,Japan,JPN,1964-04-28,4,1.22
5,1156,2014-12-24,Abe IV,1044,850,Japan,JPN,1964-04-28,4,1.22
